"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"sdP11","comp",2,"e","grab",130.6517,638265734874687360,638265734875993877,"Network Red CubeClone3 was picked up"
"sdP11","comp",2,"e","grab",639.4381,638265734899405051,638265734905799432,"Network Red CubeClone5 was picked up"
"sdP11","comp",2,"e","grab",564.3517,638265734956088149,638265734961731666,"Network Red CubeClone15 was picked up"
"sdP11","comp",2,"e","grab",592.6023,638265734994812994,638265735000739017,"Network Red CubeClone20 was picked up"
"sdP11","comp",2,"e","grab",451.0635,638265735038441618,638265735042952253,"Network Red CubeClone24 was picked up"
"sdP11","comp",2,"e","grab",528.7429,638265735087501316,638265735092788745,"Network Blue CubeClone31 was picked up"
"sdP11","comp",2,"e","grab",485.2674,638265735119430742,638265735124283416,"Network Blue CubeClone37 was picked up"
"sdP11","comp",2,"e","grab",520.747,638265735217639464,638265735222846934,"Network Blue CubeClone51 was picked up"
"sdP11","comp",2,"e","grab",245.338,638265735243765998,638265735246219378,"Network Red CubeClone53 was picked up"
"sdP11","comp",2,"e","grab",526.2591,638265735312937913,638265735318200504,"Network Blue CubeClone65 was picked up"
"sdP11","comp",2,"e","grab",250.5482,638265735394505424,638265735397010906,"Network Neutral CubeClone75 was picked up"
"sdP11","comp",2,"e","grab",384.1333,638265735418488466,638265735422329799,"Network Neutral CubeClone79 was picked up"
"sdP11","comp",2,"e","grab",173.536,638265735499646459,638265735501381819,"Network Red CubeClone85 was picked up"
"sdP11","comp",2,"e","grab",356.4017,638265735523485317,638265735527049334,"Network Blue CubeClone94 was picked up"
"sdP11","comp",2,"e","grab",439.2974,638265735608751594,638265735613144568,"Network Neutral CubeClone105 was picked up"
"sdP11","comp",2,"e","grab",169.7623,638265735674457335,638265735676154958,"Network Red CubeClone111 was picked up"
"sdP11","comp",2,"e","grab",1419.8496,638265735742799031,638265735756997527,"Network Neutral CubeClone125 was picked up"
"sdP11","comp",2,"e","grab",191.9026,638265735818892111,638265735820811137,"Network Blue CubeClone133 was picked up"
"sdP11","comp",2,"e","grab",1766.6766,638265735853858517,638265735871525283,"Network Red CubeClone138 was picked up"
"sdP11","comp",2,"e","grab",332.1725,638265735981829686,638265735985151411,"Network Neutral CubeClone158 was picked up"
"sdP11","comp",2,"e","grab",211.35,638265736010741948,638265736012855448,"Network Neutral CubeClone162 was picked up"
