TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637959201236601283,P16,tut,1,18,m,,HeadPos,-0.07498358,0.5267522,-0.06535774,12.82653,7.18533,0.177701
637959201236741316,P16,tut,1,18,m,,HeadPos,-0.07490412,0.5269319,-0.06536445,12.82644,7.185383,0.1776339
637959201236841330,P16,tut,1,18,m,,HeadPos,-0.07474999,0.5270327,-0.0653757,12.82649,7.185382,0.1772895
637959201236961367,P16,tut,1,18,m,,HeadPos,-0.07458691,0.5270734,-0.0653462,12.82644,7.185395,0.1772317
637959201237061387,P16,tut,1,18,m,,HeadPos,-0.0745375,0.5269348,-0.0653045,12.8265,7.185399,0.1770331
637959201237161405,P16,tut,1,18,m,,HeadPos,-0.07435145,0.5268629,-0.06521788,12.82647,7.185413,0.1769964
637959201237261436,P16,tut,1,18,m,,HeadPos,-0.07427591,0.5267354,-0.0651618,12.82644,7.185498,0.1770287
637959201237361457,P16,tut,1,18,m,,HeadPos,-0.07418448,0.5266564,-0.06502843,12.82643,7.185532,0.1770002
637959201237461486,P16,tut,1,18,m,,HeadPos,-0.07406814,0.5265012,-0.06489165,12.82639,7.185562,0.1770838
637959201237561504,P16,tut,1,18,m,,HeadPos,-0.07396794,0.526318,-0.06469402,12.82633,7.185569,0.1771158
637959201237691534,P16,tut,1,18,m,,HeadPos,-0.07394573,0.5260448,-0.06441915,12.8263,7.185585,0.1771133
637959201237911584,P16,tut,1,18,m,,HeadPos,-0.07385951,0.525575,-0.06429657,12.82619,7.185577,0.1770064
637959201238131624,P16,tut,1,18,m,,HeadPos,-0.07376242,0.5251551,-0.0640954,12.82633,7.185525,0.1767426
637959201238351678,P16,tut,1,18,m,,HeadPos,-0.07362396,0.5248476,-0.06411079,12.82624,7.185556,0.176676
637959201238571721,P16,tut,1,18,m,,HeadPos,-0.07351144,0.524767,-0.06432244,12.82589,7.185648,0.1767588
637959201238801776,P16,tut,1,18,m,,HeadPos,-0.07339091,0.524962,-0.06448171,12.82574,7.185719,0.1764758
637959201239021827,P16,tut,1,18,m,,HeadPos,-0.07315458,0.5253265,-0.06455092,12.82561,7.185744,0.1762987
